taxon,pd_mean_relative_abundance,control_mean_relative_abundance,log2_fold_change_PD_vs_control,p_value,fdr,importance,direction,gut_brain_axis_hypothesis
Ruminococcaceae bacterium D5,0.0006261195918367,0.0002021914529914,1.6306679225082903,1.5479855157564e-06,4.4203586394377205e-05,0.0213793103448275,PD-enriched,Unmapped / literature follow-up
Actinomyces oris,0.0002451697959183,7.542735042734871e-05,1.7004891879093562,4.35920602055359e-10,7.215982303184108e-08,0.019655172413793,PD-enriched,Oral-gut translocation
Bifidobacterium dentium,0.0026063820408163,0.0008943341880341,1.5431520393538711,2.297190398038496e-08,1.364358501376756e-06,0.019655172413793,PD-enriched,Mucin / gut barrier
Streptococcus mutans,0.0005381424489795,0.0004114311965811,0.3873286658718385,9.321499669207456e-09,7.985418049954387e-07,0.0075862068965517,PD-enriched,Opportunistic / inflammatory; Oral-gut translocation
Klebsiella pneumoniae,0.005981819387755,0.0055364961538461,0.1116109209899582,0.0055671572898027,0.022710467039354,0.0072413793103448,PD-enriched,Opportunistic / inflammatory
Coprobacillus cateniformis,0.0002119708163265,1.4606837606837178e-05,3.858230591703761,1.3311908750778995e-05,0.0002850967124125,0.006551724137931,PD-enriched,Unmapped / literature follow-up
Ruminococcus callidus,2.6926530612244697e-05,0.0001209388888888,-2.1667615651325076,0.0008251632956954,0.006804541765787,0.006551724137931,Control-enriched,Unmapped / literature follow-up
Parabacteroides distasonis,0.0225438012244897,0.0198104307692307,0.1864704564929522,0.0162231617575064,0.0521169071459894,0.006551724137931,PD-enriched,Mucin / gut barrier; Neuroactive metabolism hypothesis
Clostridium scindens,0.000452883877551,0.0004171743589743,0.1184879669138439,0.1838431606727996,0.3117477707498717,0.006551724137931,PD-enriched,Neuroactive metabolism hypothesis
Eggerthella lenta,0.0041439614285714,0.0034201346153846,0.2769567276431544,0.1419446113883165,0.2605697509056953,0.0058620689655172,PD-enriched,Unmapped / literature follow-up
Actinomyces odontolyticus,8.58528571428541e-05,8.447777777777307e-05,0.0232915277447457,0.3973560577896959,0.5460989671227372,0.0058620689655172,PD-enriched,Oral-gut translocation
Clostridium leptum,0.0020719820408163,0.0013243341880341,0.645740343691003,1.1721723056680453e-07,5.020804709278127e-06,0.0051724137931034,PD-enriched,Neuroactive metabolism hypothesis
Actinomyces sp oral taxon 448,2.293102040816306e-05,8.241025641025642e-06,1.4752841939764627,0.0001001378023107,0.0016084634496158,0.0051724137931034,PD-enriched,Oral-gut translocation
Bacteroides faecis CAG 32,0.0010558206122448,0.0007963551282051,0.4068764467219414,0.0049446119456973,0.0209366177448727,0.0044827586206896,PD-enriched,Mucin / gut barrier; Neuroactive metabolism hypothesis
Clostridium lavalense,0.0004361412244897,0.0003504085470085,0.3157493038830961,0.7351192555468913,0.8073745669895345,0.0044827586206896,PD-enriched,Neuroactive metabolism hypothesis
Ruthenibacterium lactatiformans,0.012008375510204,0.0049902448717948,1.2668567916308406,5.615550430493467e-10,7.215982303184108e-08,0.0041379310344827,PD-enriched,Unmapped / literature follow-up
Enterococcus avium,0.000455761632653,2.691025641025641e-06,7.398659987934377,6.452858154398641e-07,2.369120779543501e-05,0.0041379310344827,PD-enriched,Opportunistic / inflammatory
Enterococcus faecium,0.0003292136734693,0.0004941196581196,-0.5858215709905088,0.0008472581186972,0.006804541765787,0.0041379310344827,Control-enriched,Opportunistic / inflammatory
Veillonella dispar,0.000107877755102,6.526068376068205e-05,0.7250240752386764,0.0023763732206623,0.0127386535019092,0.0037931034482758,PD-enriched,Oral-gut translocation
Clostridium aldenense,6.395489795918203e-05,7.392393162392906e-05,-0.2089562203647464,0.73385722339033,0.8073745669895345,0.0037931034482758,Control-enriched,Neuroactive metabolism hypothesis
Alistipes finegoldii,0.0133114534693877,0.0091393576923076,0.5425029297237551,0.0092570582317614,0.0342722036753766,0.0034482758620689,PD-enriched,Neuroactive metabolism hypothesis
Firmicutes bacterium CAG 83,0.007083397755102,0.0047095717948717,0.5888446371974991,0.603338873773248,0.7145534127176255,0.0034482758620689,PD-enriched,Unmapped / literature follow-up
Megasphaera sp MJR8396C,0.002012787755102,0.0010100286324786,0.9947917432987976,0.0003247881011125,0.0034779392494137,0.003103448275862,PD-enriched,Unmapped / literature follow-up
Ruminococcus bicirculans,0.0067113961224489,0.0111906709401709,-0.7376108597024178,0.0020228410927782,0.0123403169177681,0.003103448275862,Control-enriched,Unmapped / literature follow-up
Bacteroides faecis,0.0019198032653061,0.0022697136752136,-0.2415506780405955,0.0721935448635033,0.1562819193704788,0.003103448275862,Control-enriched,Mucin / gut barrier; Neuroactive metabolism hypothesis
Bilophila wadsworthia,0.000876863877551,0.0007232149572649,0.2779248884333956,0.0972268380030644,0.1975124282571458,0.003103448275862,PD-enriched,Opportunistic / inflammatory
Lactobacillus paragasseri,0.0003695069387755,0.0001141017094017,1.695193660284862,0.0002436039460886,0.0028457370065808,0.0027586206896551,PD-enriched,Neuroactive metabolism hypothesis
Alistipes indistinctus,0.0014026144897959,0.0005536606837606,1.341028782845266,0.0012913494710385,0.0092188003904699,0.0027586206896551,PD-enriched,Neuroactive metabolism hypothesis
Streptococcus vestibularis,0.0014529795918367,0.0005692461538461,1.351874481020714,0.0023076703497192,0.0127386535019092,0.0027586206896551,PD-enriched,Opportunistic / inflammatory; Oral-gut translocation
Parabacteroides merdae,0.0093913442857142,0.008743279059829,0.1031571211653611,0.1415804230538794,0.2605697509056953,0.0027586206896551,PD-enriched,Mucin / gut barrier; Neuroactive metabolism hypothesis
Phascolarctobacterium faecium,0.0015594012244897,0.0015280679487179,0.0292832855544792,0.4524561343947924,0.592157645444463,0.0027586206896551,PD-enriched,Unmapped / literature follow-up
Eubacterium siraeum,0.0163556883673469,0.0215135059829059,-0.3954499636605365,0.7550151236115424,0.8187294800344574,0.0027586206896551,Control-enriched,SCFA / anti-inflammatory
Lactobacillus salivarius,0.0016733663265306,4.69042735042735e-05,5.156591195660907,0.0002841958338049,0.0031755795342556,0.0024137931034482,PD-enriched,Neuroactive metabolism hypothesis
Actinomyces naeslundii,2.7424285714284693e-05,1.0284188034188036e-05,1.414149973696471,0.004341784214987,0.0192385955733045,0.0024137931034482,PD-enriched,Oral-gut translocation
Collinsella stercoris,0.0026818730612244,0.0013002884615384,1.0444035249129062,0.0166955577237268,0.0529723251234297,0.0024137931034482,PD-enriched,Unmapped / literature follow-up
Eubacterium eligens,0.0040559126530612,0.005007123076923,-0.3039546588801176,0.0307998074653089,0.0860385925933085,0.0020689655172413,Control-enriched,SCFA / anti-inflammatory
Roseburia sp CAG 471,0.0005223697959183,0.0003596739316239,0.5383693883203166,0.1609627851912982,0.2814111278514534,0.0020689655172413,PD-enriched,SCFA / anti-inflammatory
Bacteroides plebeius,0.0038751834693877,0.0112484717948717,-1.5373900503684297,0.6614632929357944,0.7692129696131184,0.0020689655172413,Control-enriched,Mucin / gut barrier; Neuroactive metabolism hypothesis
Megasphaera sp DISK 18,0.0003301914285714,0.0001009935897435,1.7089397935322173,0.0004583616590569,0.004362923939912,0.0017241379310344,PD-enriched,Unmapped / literature follow-up
Holdemanella biformis,0.0002666473469387,0.0006127431623931,-1.200318947121234,0.2953643736390157,0.4465214354425119,0.0017241379310344,Control-enriched,Unmapped / literature follow-up
Intestinimonas butyriciproducens,0.0013832240816326,0.0013280538461538,0.0587208158714165,0.4865163283693581,0.6069645455870147,0.0017241379310344,PD-enriched,Unmapped / literature follow-up
Bacteroides vulgatus,0.0574857595918367,0.0673529982905982,-0.2285375184582997,0.0292318719480825,0.0834732343406356,0.0013793103448275,Control-enriched,Mucin / gut barrier; Neuroactive metabolism hypothesis
Blautia sp CAG 257,0.0083171189795918,0.0087418863247863,-0.0718606633859462,0.1117085290966026,0.2225511006033091,0.0013793103448275,Control-enriched,Unmapped / literature follow-up
Bacteroides stercoris,0.0462121026530612,0.0422473358974358,0.1294103359920174,0.2115525646203624,0.3485192891502124,0.0013793103448275,PD-enriched,Mucin / gut barrier; Neuroactive metabolism hypothesis
Butyricimonas synergistica,0.0002343299999999,0.0002073311965811,0.1765964382289296,0.3014511584318862,0.4480428762933178,0.0013793103448275,PD-enriched,Unmapped / literature follow-up
Alistipes putredinis,0.0300783706122448,0.0323997307692307,-0.1072553741807269,0.3553036394403414,0.501719974374548,0.0013793103448275,Control-enriched,Neuroactive metabolism hypothesis
Odoribacter splanchnicus,0.003344817755102,0.002845979059829,0.2330018038480976,0.4384994679872234,0.5808987797562701,0.0013793103448275,PD-enriched,Unmapped / literature follow-up
Adlercreutzia equolifaciens,0.001547627755102,0.0016992811965811,-0.1348652697437838,0.6489109028235669,0.7580459182984395,0.0013793103448275,Control-enriched,Unmapped / literature follow-up
Coprococcus catus,0.001756397755102,0.001678697008547,0.0652773566447292,0.9853776483113064,0.9892267797500224,0.0013793103448275,PD-enriched,Unmapped / literature follow-up
Eisenbergiella tayi,0.0017359381632653,0.0003438551282051,2.335809145574688,4.079876144680823e-05,0.0008065601301407,0.0010344827586206,PD-enriched,Unmapped / literature follow-up
