taxon,pd_mean_relative_abundance,control_mean_relative_abundance,log2_fold_change_PD_vs_control,p_value,fdr
Actinomyces oris,0.00024516979591836306,7.542735042734871e-05,1.7004891879093562,4.3592060205535907e-10,7.215982303184107e-08
Ruthenibacterium lactatiformans,0.012008375510204068,0.004990244871794861,1.2668567916308406,5.615550430493468e-10,7.215982303184107e-08
Streptococcus mutans,0.0005381424489795883,0.0004114311965811958,0.38732866587183856,9.321499669207456e-09,7.985418049954387e-07
Bifidobacterium dentium,0.0026063820408163216,0.0008943341880341858,1.5431520393538711,2.2971903980384958e-08,1.364358501376756e-06
Blautia wexlerae,0.015844287551020398,0.028286875641025624,-0.8361696461600777,2.654393971550109e-08,1.364358501376756e-06
Clostridium leptum,0.002071982040816317,0.0013243341880341763,0.645740343691003,1.1721723056680452e-07,5.020804709278127e-06
Enterococcus avium,0.00045576163265305977,2.691025641025641e-06,7.398659987934377,6.452858154398641e-07,2.369120779543501e-05
Roseburia intestinalis,0.004872467959183666,0.010196653846153838,-1.0653696425777144,1.0633028746436359e-06,3.4158604847926804e-05
Ruminococcaceae bacterium D5,0.0006261195918367326,0.00020219145299145002,1.6306679225082903,1.5479855157564001e-06,4.4203586394377205e-05
Fusicatenibacter saccharivorans,0.01453480448979591,0.02152505854700854,-0.5665051736805324,1.1903249938245845e-05,0.0002850967124125168
Streptococcus australis,2.623265306122388e-05,7.361196581196496e-05,-1.488222692366308,1.28964045867797e-05,0.0002850967124125168
Coprobacillus cateniformis,0.00021197081632652875,1.4606837606837178e-05,3.8582305917037605,1.3311908750778997e-05,0.0002850967124125168
Eisenbergiella tayi,0.001735938163265302,0.0003438551282051235,2.335809145574688,4.079876144680823e-05,0.0008065601301407474
Faecalibacterium prausnitzii,0.04199921795918367,0.05619634316239315,-0.420113702287353,4.4728241147484755e-05,0.000821082712493113
Ruminococcus lactaris,0.002027668775510201,0.0034759457264957228,-0.7775805875901033,5.5298911063235194e-05,0.0009474546762167631
Actinomyces sp oral taxon 448,2.293102040816306e-05,8.241025641025642e-06,1.4752841939764627,0.00010013780231071727,0.0016084634496158962
Scardovia wiggsiae,5.10438775510198e-05,1.2367521367521366e-06,5.355773957519962,0.00011709788914425607,0.0016796394617443764
Turicibacter sanguinis,0.00035786183673469207,5.026324786324743e-05,2.831580211829858,0.0001176401179431859,0.0016796394617443764
Anaerostipes hadrus,0.008533215510204074,0.011225372222222214,-0.39560148912377224,0.00015914359996036103,0.002124103463255601
Collinsella massiliensis,0.0002720185714285706,2.233504273504188e-05,3.605731478101679,0.00017180567109746536,0.002124103463255601
