taxon,importance
Ruminococcaceae bacterium D5,0.02137931034482755
Actinomyces oris,0.01965517241379309
Bifidobacterium dentium,0.01965517241379307
Streptococcus mutans,0.0075862068965517225
Klebsiella pneumoniae,0.007241379310344842
Clostridium scindens,0.006551724137931048
Ruminococcus callidus,0.006551724137931048
Parabacteroides distasonis,0.006551724137931048
Coprobacillus cateniformis,0.0065517241379310365
Actinomyces odontolyticus,0.005862068965517253
Eggerthella lenta,0.005862068965517253
Actinomyces sp oral taxon 448,0.005172413793103447
Clostridium leptum,0.005172413793103442
Clostridium lavalense,0.0044827586206896645
Bacteroides faecis CAG 32,0.004482758620689653
Ruthenibacterium lactatiformans,0.0041379310344827665
Enterococcus faecium,0.0041379310344827665
Enterococcus avium,0.004137931034482761
Clostridium aldenense,0.0037931034482758695
Veillonella dispar,0.0037931034482758695
Alistipes finegoldii,0.0034482758620689724
Firmicutes bacterium CAG 83,0.0034482758620689724
Bacteroides faecis,0.0031034482758620753
Bilophila wadsworthia,0.0031034482758620753
Ruminococcus bicirculans,0.0031034482758620753
Megasphaera sp MJR8396C,0.0031034482758620697
Parabacteroides merdae,0.002758620689655178
Eubacterium siraeum,0.002758620689655178
Phascolarctobacterium faecium,0.002758620689655178
Lactobacillus paragasseri,0.002758620689655178
Streptococcus vestibularis,0.002758620689655172
Alistipes indistinctus,0.002758620689655172
Collinsella stercoris,0.0024137931034482808
Lactobacillus salivarius,0.0024137931034482808
Actinomyces naeslundii,0.0024137931034482808
Bacteroides plebeius,0.0020689655172413833
Eubacterium eligens,0.0020689655172413833
Roseburia sp CAG 471,0.0020689655172413833
Holdemanella biformis,0.0017241379310344862
Intestinimonas butyriciproducens,0.0017241379310344862
Megasphaera sp DISK 18,0.0017241379310344862
Bacteroides stercoris,0.001379310344827589
Butyricimonas synergistica,0.001379310344827589
Alistipes putredinis,0.001379310344827589
Bacteroides vulgatus,0.001379310344827589
Adlercreutzia equolifaciens,0.001379310344827589
Coprococcus catus,0.001379310344827589
Odoribacter splanchnicus,0.001379310344827589
Blautia sp CAG 257,0.001379310344827589
Phascolarctobacterium succinatutens,0.0010344827586206916
