feature,mean_relative_abundance,prevalence
Bacteroides uniformis,0.07945558052486187,0.9792817679558011
Bacteroides vulgatus,0.060674894751381214,0.962707182320442
Faecalibacterium prausnitzii,0.04658779157458563,0.9157458563535912
Bacteroides stercoris,0.04493067251381216,0.8052486187845304
Collinsella aerofaciens,0.03203128922651933,0.8646408839779005
Eubacterium rectale,0.03163295593922652,0.8232044198895028
Alistipes putredinis,0.030828644475138122,0.8176795580110497
Bifidobacterium longum,0.027309761602209947,0.7941988950276243
Ruminococcus bromii,0.024668879696132597,0.5524861878453039
Akkermansia muciniphila,0.021821681767955802,0.7223756906077348
Parabacteroides distasonis,0.021660363812154696,0.8701657458563536
Prevotella copri,0.020149260220994475,0.35911602209944754
Blautia wexlerae,0.019865787016574585,0.893646408839779
Eubacterium siraeum,0.018022717817679557,0.6602209944751382
Bacteroides dorei,0.017999415193370165,0.6243093922651933
Bifidobacterium adolescentis,0.017827443784530387,0.4171270718232044
Fusicatenibacter saccharivorans,0.01679408549723757,0.7486187845303868
Roseburia faecis,0.013913435497237567,0.6187845303867403
Blautia obeum,0.012226123066298342,0.7375690607734806
Alistipes finegoldii,0.01196301367403315,0.7928176795580111
Bifidobacterium pseudocatenulatum,0.011759447928176795,0.39502762430939226
Bacteroides ovatus,0.011259416160220994,0.8591160220994475
Bacteroides thetaiotaomicron,0.01117155593922652,0.7997237569060773
Escherichia coli,0.011093995856353593,0.5386740331491713
Streptococcus salivarius,0.010611277348066299,0.9392265193370166
Ruthenibacterium lactatiformans,0.009740084668508288,0.9765193370165746
Bacteroides caccae,0.009527485911602209,0.6229281767955801
Anaerostipes hadrus,0.009403332458563536,0.7237569060773481
Parabacteroides merdae,0.009181886740331493,0.7527624309392266
Flavonifractor plautii,0.009032752900552487,0.9488950276243094
Bifidobacterium bifidum,0.00885791408839779,0.28591160220994477
Ruminococcus torques,0.008802810773480663,0.505524861878453
Bacteroides eggerthii,0.008706623895027625,0.2914364640883978
Blautia sp CAG 257,0.008454405662983425,0.7334254143646409
Ruminococcus bicirculans,0.008159117541436464,0.3328729281767956
Ruminococcus gnavus,0.007947457182320442,0.7513812154696132
Dorea longicatena,0.007798471961325966,0.5469613259668509
Eubacterium hallii,0.007177163812154695,0.7002762430939227
Acidaminococcus intestini,0.007115681767955801,0.287292817679558
Roseburia intestinalis,0.006593268370165746,0.6408839779005525
Bacteroides cellulosilyticus,0.006388156215469613,0.5138121546961326
Firmicutes bacterium CAG 83,0.006316166712707183,0.5317679558011049
Bacteroides plebeius,0.006258262845303867,0.1712707182320442
Bacteroides fragilis,0.005863387569060773,0.40193370165745856
Klebsiella pneumoniae,0.005837888950276243,0.26243093922651933
Eubacterium sp CAG 180,0.005507664779005526,0.15331491712707182
Oscillibacter sp 57 20,0.0054968088397790065,0.4198895027624309
Barnesiella intestinihominis,0.005268032596685083,0.3342541436464088
Coprococcus comes,0.005163345856353591,0.47513812154696133
Eubacterium eligens,0.004363348066298342,0.505524861878453
